@relation 'sysdev-weka.filters.unsupervised.attribute.Remove-R1-8,16-22-weka.filters.unsupervised.attribute.Remove-R4-7'

@attribute accelerationx-mean-1000 numeric
@attribute accelerationy-mean-1000 numeric
@attribute accelerationz-mean-1000 numeric
@attribute class {walking,sitting,standing}

@data
-3.208416,-9.287751,-1.204492,walking
-3.4,-9.184551,-1.38694,walking
-3.766718,-9.196918,-1.188829,walking
-3.991398,-9.123029,-1.119086,walking
-4.225898,-9.05941,-1.090241,walking
-4.44178,-8.896231,-1.127031,walking
-4.628361,-8.796311,-1.194098,walking
-4.721805,-8.810199,-1.258617,walking
-4.594191,-8.638589,-1.4361,walking
-4.770202,-9.039394,-1.064394,walking
-5.021465,-9.077778,-0.815909,walking
-5.195455,-8.913131,-0.530303,walking
-5.142424,-8.508838,-0.544444,walking
-5.043182,-8.54798,-0.774495,walking
-5.09697,-8.55101,-1.078788,walking
-6.1,-6.3,-1.2,walking
-5.9,-6.1,-1.15,walking
-5.666667,-5.933333,-1.133333,walking
-5.45,-5.75,-1.125,walking
-5.26,-5.58,-1.06,walking
-5.1,-5.433333,-1,walking
-4.942857,-5.314286,-0.971429,walking
-4.7875,-5.225,-0.975,walking
-4.655556,-5.177778,-1,walking
-4.55,-5.15,-1.04,walking
-4.472727,-5.136364,-1.1,walking
-4.416667,-5.133333,-1.15,walking
-4.376923,-5.138462,-1.2,walking
-4.357143,-5.15,-1.235714,walking
-4.353333,-5.166667,-1.26,walking
-4.3625,-5.1875,-1.26875,walking
-4.382353,-5.211765,-1.264706,walking
-4.411111,-5.238889,-1.244444,walking
-4.447368,-5.273684,-1.221053,walking
-4.495,-5.31,-1.19,walking
-4.542857,-5.352381,-1.152381,walking
-4.6,-5.4,-1.113636,walking
-4.66087,-5.452174,-1.073913,walking
-4.720833,-5.508333,-1.029167,walking
-4.788,-5.572,-0.988,walking
-4.857692,-5.642308,-0.946154,walking
-4.922222,-5.718519,-0.903704,walking
-4.989286,-5.796429,-0.864286,walking
-5.058621,-5.875862,-0.827586,walking
-5.126667,-5.96,-0.79,walking
-5.193548,-6.045161,-0.754839,walking
-5.2625,-6.13125,-0.721875,walking
-5.330303,-6.221212,-0.690909,walking
-5.394118,-6.314706,-0.661765,walking
-5.457143,-6.408571,-0.631429,walking
-5.519444,-6.505556,-0.602778,walking
-5.575676,-6.6,-0.575676,walking
-5.628947,-6.694737,-0.552632,walking
-5.676923,-6.787179,-0.528205,walking
-5.7225,-6.8775,-0.505,walking
-5.760976,-6.965854,-0.485366,walking
-5.795238,-7.05,-0.466667,walking
-5.823256,-7.130233,-0.451163,walking
-5.845455,-7.206818,-0.436364,walking
-5.864444,-7.277778,-0.426667,walking
-5.878261,-7.343478,-0.419565,walking
-5.885106,-7.404255,-0.412766,walking
-5.8875,-7.458333,-0.408333,walking
-5.885714,-7.504082,-0.404082,walking
-5.878,-7.544,-0.402,walking
-5.866667,-7.576471,-0.4,walking
-5.851923,-7.601923,-0.398077,walking
-5.835849,-7.622642,-0.396226,walking
-5.816667,-7.638889,-0.396296,walking
-5.451779,-8.279842,-0.379447,walking
-5.439286,-8.396584,-0.914286,walking
-5.369165,-8.388046,-1.011195,walking
-5.493912,-8.473256,-0.84275,walking
-5.633939,-8.267183,-0.92202,walking
-5.720448,-8.205485,-1.041817,walking
-5.751544,-8.189942,-0.996327,walking
-5.760796,-8.187479,-0.972947,walking
-5.77499,-8.186505,-0.964242,walking
-5.78236,-8.208498,-0.982521,walking
-5.845743,-8.176759,-1.078888,walking
-5.922856,-8.114227,-1.061633,walking
-6.109873,-8.008987,-1.068101,walking
