% Group: LeisterMeierMulterer
% Date: 2018-05-23 21:43

@RELATION sysdev

@ATTRIBUTE timestamp NUMERIC
@ATTRIBUTE accelerationx-mean-300 NUMERIC
@ATTRIBUTE accelerationy-mean-300 NUMERIC
@ATTRIBUTE accelerationz-mean-300 NUMERIC
@ATTRIBUTE accelerationx-var-300 NUMERIC
@ATTRIBUTE accelerationy-var-300 NUMERIC
@ATTRIBUTE accelerationz-var-300 NUMERIC
@ATTRIBUTE abs-var-300 NUMERIC
@ATTRIBUTE accelerationx-mean-1000 NUMERIC
@ATTRIBUTE accelerationy-mean-1000 NUMERIC
@ATTRIBUTE accelerationz-mean-1000 NUMERIC
@ATTRIBUTE accelerationx-var-1000 NUMERIC
@ATTRIBUTE accelerationy-var-1000 NUMERIC
@ATTRIBUTE accelerationz-var-1000 NUMERIC
@ATTRIBUTE abs-var-1000 NUMERIC
@ATTRIBUTE accelerationx-mean-3000 NUMERIC
@ATTRIBUTE accelerationy-mean-3000 NUMERIC
@ATTRIBUTE accelerationz-mean-3000 NUMERIC
@ATTRIBUTE accelerationx-var-3000 NUMERIC
@ATTRIBUTE accelerationy-var-3000 NUMERIC
@ATTRIBUTE accelerationz-var-3000 NUMERIC
@ATTRIBUTE abs-var-3000 NUMERIC
@ATTRIBUTE class {walking,sitting,standing}

@DATA
1527104618304,-1.5764705882352914,-9.673949579831959,-2.1033613445378143,0.0031438457736035676,0.002598686533436901,0.013097945060377111,0.0030492135589365306,?,?,?,?,?,?,?,?,?,?,?,?,?,?,standing
1527104618403,-1.6277310924369734,-9.682352941176488,-2.0277310924369756,0.008726784831579685,0.0014532871972318233,0.009399053739142701,0.001546729560398159,?,?,?,?,?,?,?,?,?,?,?,?,?,?,standing
1527104618504,-1.701680672268908,-9.68319327731094,-1.971428571428573,0.007896335004590076,0.0013982063413600604,0.00304921968787515,0.0013538065482477696,?,?,?,?,?,?,?,?,?,?,?,?,?,?,standing
1527104618603,-1.73361344537815,-9.676470588235308,-1.9697478991596646,0.006097027046112558,0.002135442412259011,0.003958759974578074,0.0022710287595335346,?,?,?,?,?,?,?,?,?,?,?,?,?,?,standing
1527104618703,-1.7725000000000024,-9.66333333333335,-1.9933333333333327,0.007160416666666681,0.0028222222222222012,0.005122222222222234,0.0030261072640860383,?,?,?,?,?,?,?,?,?,?,?,?,?,?,standing
1527104618804,-1.770833333333336,-9.653333333333348,-2.0474999999999977,0.006732638888888894,0.0031555555555555334,0.006493750000000006,0.003574445747395603,?,?,?,?,?,?,?,?,?,?,?,?,?,?,standing
1527104618903,-1.758333333333332,-9.652500000000009,-2.0983333333333296,0.009263888888888887,0.0031604166666666556,0.008330555555555563,0.0035162380906962,?,?,?,?,?,?,?,?,?,?,?,?,?,?,standing
1527104619003,-1.7571428571428576,-9.64873949579833,-2.0957983193277303,0.010348139255702271,0.0028345455829390347,0.0076294047030576835,0.0032541728342124474,-1.7043037974683521,-9.66405063291134,-2.0529113924050666,0.013981477327351383,0.002758275917320936,0.011453549110719396,0.0029203106895314313,?,?,?,?,?,?,?,standing
1527104619103,-1.8226890756302538,-9.657142857142876,-2.022689075630254,0.02377092013275898,0.0029531812725089907,0.017048231057128722,0.0037486581984661673,-1.7429292929292912,-9.666414141414082,-2.024494949494952,0.018409601061116273,0.002584111315171919,0.010738381287623756,0.0027936742419373134,?,?,?,?,?,?,?,standing
1527104619203,-1.9716666666666642,-9.671666666666685,-1.889166666666669,0.023697222222222245,0.0030305555555555494,0.01363263888888891,0.0038714921357478407,-1.8012626262626272,-9.668939393939336,-1.9881313131313136,0.026134769411284505,0.0026968549127639923,0.014833881746760548,0.003098651608847297,?,?,?,?,?,?,?,standing
1527104619303,-1.974166666666666,-9.716666666666667,-1.7641666666666656,0.02824930555555559,0.004888888888888938,0.024299305555555574,0.007042569227613959,-1.823484848484851,-9.677020202020158,-1.9502525252525242,0.024322199265381022,0.0040931410060198025,0.028813067544128112,0.004565918543679081,?,?,?,?,?,?,?,standing
1527104619404,-2.0134453781512596,-9.70756302521009,-1.5571428571428598,0.03561754113410074,0.00674952333874733,0.050012004801920744,0.012121866587726949,-1.858838383838387,-9.673989898989856,-1.8830808080808021,0.03105824660748903,0.004550747372717092,0.06857737730843799,0.005978041003237189,?,?,?,?,?,?,?,standing
1527104619503,-2.0823529411764734,-9.691596638655469,-1.3899159663865543,0.05926841324765211,0.008500812089541772,0.03788150554339389,0.011763397970676746,-1.9148989898989872,-9.671212121212081,-1.814393939393933,0.04934872717069679,0.004928833792470178,0.1021918044077136,0.006348249053595649,?,?,?,?,?,?,?,standing
1527104619605,-2.190756302521007,-9.672268907563023,-1.1554621848739488,0.027393545653555517,0.01259233105006715,0.24818445025068855,0.013988895420641845,-1.9608585858585847,-9.675757575757554,-1.7055555555555504,0.04995784868890932,0.007240587695133191,0.23203984287317586,0.008508168437529544,?,?,?,?,?,?,?,standing
1527104619703,-2.3151260504201674,-9.684873949579831,-1.1184873949579834,0.030359437892804188,0.013216580749947098,0.31478426664783565,0.015264007566720165,-2.0207070707070685,-9.679797979797963,-1.6224747474747465,0.07164192429343952,0.007521171309050111,0.26467165340271404,0.009533657410183659,?,?,?,?,?,?,?,standing
1527104619803,-2.6546218487394997,-9.625210084033608,-0.8579831932773107,0.30113410069910324,0.022725796200833277,0.3878144198856013,0.019632053786990455,-2.180253164556963,-9.663037974683535,-1.4577215189873427,0.22593917641403632,0.011292036532606992,0.34887075789136257,0.011268307612188458,?,?,?,?,?,?,?,standing
1527104619903,-3.104201680672268,-9.536134453781512,-0.689915966386554,0.2963689005013767,0.016929595367558743,0.2410747828543189,0.016250350101465666,-2.3648989898989905,-9.641414141414137,-1.2914141414141438,0.35359115141312103,0.015406081012141621,0.3629565860626475,0.012319609131836457,?,?,?,?,?,?,?,standing
1527104620004,-3.3201680672268914,-9.466386554621852,-0.500840336134454,0.08833274486265114,0.0044163547772049635,0.009999293835181102,0.013709849199842706,-2.4904040404040413,-9.624999999999996,-1.1431818181818207,0.36101902867054325,0.01839015151515149,0.34639290633608893,0.012664347170918222,?,?,?,?,?,?,?,standing
1527104620103,-3.3424999999999994,-9.47666666666666,-0.545833333333334,0.07361041666666665,0.003955555555555529,0.006315972222222212,0.011618187726659745,-2.6363636363636362,-9.608585858585862,-1.0148989898989935,0.3983241505968778,0.019118202224262693,0.30273256555453526,0.01362938504645641,?,?,?,?,?,?,?,standing
1527104620204,-3.3142857142857123,-9.498319327731092,-0.5319327731092439,0.03651860744297728,0.003190452651648877,0.00805592825365441,0.00950840627286027,-2.7703797468354474,-9.58911392405064,-0.8810126582278504,0.41843909629866943,0.018640987021310677,0.2589559365486278,0.01423473430429384,?,?,?,?,?,?,?,standing
